tel_1,VF37ARFZE00000003,content.34187.1.1,trip_name,125,1770634940469,1770634940769,bk,1770634940469515200
tel_2,VF37ARFZE00000006,content.34183.1.4,fuel_level,43,1770634940470,1770634940908,bk,1770634940469515201
tel_3,VF37ARFZE00000006,content.34183.1.12,sunroof_position_status,Closed,1770634940471,1770634941107,bk,1770634940469515202
tel_4,VF37ARFZE00000010,content.34193.1.8,estimated_running_time,902,1770634940472,1770634940802,bk,1770634940469515203
tel_5,VF37ARFZE00000009,content.34183.1.18,rear_left_tire_pressure,39,1770634940473,1770634941233,bk,1770634940469515204
tel_6,VF37ARFZE00000008,content.34183.1.43,driver_tilt_position,869,1770634940474,1770634940720,bk,1770634940469515205
tel_7,VF37ARFZE00000002,content.34183.1.11,remaining_distance,148815,1770634940475,1770634940765,bk,1770634940469515206
tel_8,VF37ARFZE00000003,content.34193.1.6,charging_control,82,1770634940476,1770634941233,bk,1770634940469515207
tel_9,VF37ARFZE00000002,content.34223.1.6,third_row_driver_seat_belt,303,1770634940477,1770634940893,bk,1770634940469515208
tel_10,VF37ARFZE00000005,content.34193.1.22,peak_off_hour_end,182,1770634940478,1770634941221,bk,1770634940469515209
tel_11,VF37ARFZE00000007,content.34187.1.5,average_power_consumption_(non-vfe34),31,1770634940479,1770634941429,bk,1770634940469515210
tel_12,VF37ARFZE00000005,content.6.1.10,gnss_status,Closed,1770634940480,1770634941171,bk,1770634940469515211
tel_13,VF37ARFZE00000009,content.34183.1.34,cpd_status,Active,1770634940481,1770634941438,bk,1770634940469515212
tel_14,VF37ARFZE00000008,content.34183.1.40,mirror_position_right_y,544,1770634940482,1770634941219,bk,1770634940469515213
tel_15,VF37ARFZE00000006,content.34223.1.5,second_row_middle_seat_belt,904,1770634940483,1770634941066,bk,1770634940469515214
tel_16,VF37ARFZE00000009,content.34183.1.46,autodiag,929,1770634940484,1770634941403,bk,1770634940469515215
tel_17,VF37ARFZE00000004,content.34183.1.21,front_right_tire_temperature,48,1770634940485,1770634940648,bk,1770634940469515216
tel_18,VF37ARFZE00000001,content.34193.1.4,charge_lid_control,505,1770634940486,1770634941220,bk,1770634940469515217
